gene_id	gene_name	chromosome	start	end
ENSG00000290825	DDX11L16	chr1	11121	24894
ENSG00000223972	DDX11L1	chr1	12010	13670
ENSG00000310526	WASH7P	chr1	14356	30744
ENSG00000227232	WASH7P	chr1	14696	24886
ENSG00000278267	MIR6859-1	chr1	17369	17436
ENSG00000243485	MIR1302-2HG	chr1	28589	31109
ENSG00000284332	MIR1302-2	chr1	30366	30503
ENSG00000237613	FAM138A	chr1	34553	37595
ENSG00000308361	ENSG00000308361	chr1	36526	40778
ENSG00000290826	ENSG00000290826	chr1	51891	64116
ENSG00000268020	OR4G4P	chr1	52473	53312
ENSG00000240361	OR4G11P	chr1	62949	63887
ENSG00000186092	OR4F5	chr1	65419	71585
ENSG00000241860	ENSG00000241860	chr1	89295	181719
ENSG00000239945	ENSG00000239945	chr1	89551	91105
ENSG00000308314	ENSG00000308314	chr1	96638	105742
ENSG00000233750	CICP27	chr1	131025	134836
ENSG00000308579	ENSG00000308579	chr1	134914	136246
ENSG00000268903	ENSG00000268903	chr1	135141	135895
ENSG00000269981	ENSG00000269981	chr1	137682	137965
ENSG00000239906	ENSG00000239906	chr1	139790	140339
ENSG00000310528	ENSG00000310528	chr1	146386	199861
ENSG00000222623	RNU6-1100P	chr1	157784	157887
ENSG00000241599	ENSG00000241599	chr1	160446	161525
ENSG00000308415	DDX11L2	chr1	180931	184937
ENSG00000310527	WASH9P	chr1	182146	201244
ENSG00000279928	DDX11L17	chr1	182696	184174
ENSG00000279457	WASH9P	chr1	185217	195411
ENSG00000273874	MIR6859-2	chr1	187891	187958
ENSG00000308625	ENSG00000308625	chr1	199108	199882
ENSG00000308544	ENSG00000308544	chr1	199948	201629
ENSG00000292994	ENSG00000292994	chr1	257864	359681
ENSG00000228463	ENSG00000228463	chr1	258568	259024
ENSG00000306775	ENSG00000306775	chr1	258696	266103
ENSG00000286448	ENSG00000286448	chr1	266753	284291
ENSG00000236679	RPL23AP24	chr1	347982	348366
ENSG00000236601	ENSG00000236601	chr1	356138	366052
ENSG00000290385	ENSG00000290385	chr1	365127	532459
ENSG00000269732	WBP1LP7	chr1	439870	440232
ENSG00000284733	OR4F29	chr1	450740	451678
ENSG00000237094	ENSG00000237094	chr1	485026	485208
ENSG00000233653	CICP7	chr1	487101	489906
ENSG00000250575	ENSG00000250575	chr1	491225	493241
ENSG00000278757	U6	chr1	516376	516479
ENSG00000293331	ENSG00000293331	chr1	586054	633129
ENSG00000225880	LINC00115	chr1	586945	827989
ENSG00000235146	ENSG00000235146	chr1	587577	595116
ENSG00000225972	MTND1P23	chr1	629062	629433
ENSG00000225630	MTND2P28	chr1	629640	630683
ENSG00000237973	MTCO1P12	chr1	631074	632616
ENSG00000278791	ENSG00000278791	chr1	632325	632413
ENSG00000229344	MTCO2P12	chr1	632757	633438
ENSG00000240409	MTATP8P1	chr1	633535	633741
ENSG00000248527	MTATP6P1	chr1	633696	634376
ENSG00000198744	MTCO3P12	chr1	634376	634922
ENSG00000268663	WBP1LP6	chr1	674842	675265
ENSG00000284662	OR4F16	chr1	685716	686654
ENSG00000230021	ENSG00000230021	chr1	720024	720206
ENSG00000229376	CICP3	chr1	722092	724903
ENSG00000223181	RNU6-1199P	chr1	758233	758336
ENSG00000229905	ENSG00000229905	chr1	760911	761989
ENSG00000228327	ENSG00000228327	chr1	764723	774280
ENSG00000237491	LINC01409	chr1	778739	810066
ENSG00000285268	ENSG00000285268	chr1	781937	782050
ENSG00000230092	ENSG00000230092	chr1	805799	810161
ENSG00000177757	FAM87B	chr1	817363	819842
ENSG00000228794	LINC01128	chr1	825138	868835
ENSG00000297178	ENSG00000297178	chr1	833098	835618
ENSG00000297224	ENSG00000297224	chr1	850902	852130
ENSG00000230368	FAM41C	chr1	868052	877032
ENSG00000234711	TUBB8P11	chr1	873292	874349
ENSG00000283040	ENSG00000283040	chr1	874529	877234
ENSG00000296088	ENSG00000296088	chr1	882161	889297
ENSG00000272438	ENSG00000272438	chr1	904786	921034
ENSG00000298603	ENSG00000298603	chr1	908073	910592
ENSG00000223764	LINC02593	chr1	916865	925614
ENSG00000187634	SAMD11	chr1	923923	944575
ENSG00000188976	NOC2L	chr1	944203	959309
ENSG00000187961	KLHL17	chr1	960584	965719
ENSG00000187583	PLEKHN1	chr1	966482	975865
ENSG00000187642	PERM1	chr1	975198	982117
ENSG00000303599	ENSG00000303599	chr1	982505	989967
ENSG00000272512	ENSG00000272512	chr1	995966	998051
ENSG00000188290	HES4	chr1	998962	1000172
ENSG00000303623	ENSG00000303623	chr1	1000715	1001068
